topic,class,count,avg_lat_ms,p95_lat_ms,p99_lat_ms,jitter_std_ms,ipdv_std_ms,deadline_missrate_1ms,deadline_missrate_2ms,loss_rate
/perception/object_recognition/detection/voxel_based_compare_map_filter/debug/processing_time_ms,Best-Effort,5920,5.418,9.096,10.016,3.442,1.758,,,0.0
/perception/object_recognition/objects/debug/published_time,Best-Effort,5944,0.837,2.612,3.667,1.612,1.577,,,0.0
/perception/object_recognition/prediction/map_based_prediction/debug/cyclic_time_ms,Best-Effort,5944,0.911,2.698,3.82,1.623,1.604,,,0.0
/perception/object_recognition/prediction/map_based_prediction/debug/processing_time_detail_ms,Best-Effort,5944,0.865,2.642,3.746,1.622,1.601,,,0.0
/perception/object_recognition/prediction/map_based_prediction/debug/processing_time_ms,Best-Effort,5950,0.795,2.554,3.514,1.455,1.616,,,0.0
/perception/object_recognition/tracking/multi_object_tracker/debug/cyclic_time_ms,Best-Effort,5967,0.769,2.491,3.559,1.606,1.54,,,0.0
/perception/object_recognition/tracking/multi_object_tracker/debug/input_latency_ms,Best-Effort,5966,4.703,7.695,8.561,2.732,2.014,,,0.0
/perception/object_recognition/tracking/multi_object_tracker/debug/meas_to_tracked_object_ms,Best-Effort,5967,0.679,2.308,3.294,1.602,1.505,,,0.0
/perception/object_recognition/tracking/multi_object_tracker/debug/objects_markers,Best-Effort,5967,0.754,2.418,3.467,1.598,1.548,,,0.0
/perception/object_recognition/tracking/multi_object_tracker/debug/pipeline_latency_ms,Best-Effort,5966,0.823,2.537,3.654,1.61,1.556,,,0.0
/perception/object_recognition/tracking/multi_object_tracker/debug/processing_latency_ms,Best-Effort,5966,0.813,2.499,3.519,1.607,1.563,,,0.0
/perception/object_recognition/tracking/multi_object_tracker/debug/processing_time_ms,Best-Effort,5967,0.613,2.162,3.288,1.43,1.518,,,0.0
/perception/object_recognition/tracking/objects/debug/published_time,Best-Effort,5967,0.549,2.061,3.185,1.568,1.42,,,0.0
/perception/obstacle_segmentation/crop_box_filter/debug/cyclic_time_ms,Best-Effort,5938,4.04,14.277,15.451,5.605,6.061,,,0.0
