topic,class,count,avg_lat_ms,p95_lat_ms,p99_lat_ms,jitter_std_ms,ipdv_std_ms,deadline_missrate_1ms,deadline_missrate_2ms,loss_rate
/perception/object_recognition/tracking/multi_object_tracker/debug/pipeline_latency_ms,Best-Effort,5866,302.575,356.474,358.904,37.787,54.548,,,0.0
/perception/object_recognition/tracking/multi_object_tracker/debug/processing_latency_ms,Best-Effort,5866,302.453,356.35,358.821,37.784,54.544,,,0.0
/perception/object_recognition/tracking/multi_object_tracker/debug/processing_time_ms,Best-Effort,5867,302.377,356.419,358.83,37.851,54.565,,,0.0
/perception/object_recognition/tracking/objects/debug/published_time,Best-Effort,5867,302.462,356.403,358.87,37.79,54.546,,,0.0
/perception/obstacle_segmentation/crop_box_filter/debug/cyclic_time_ms,Best-Effort,5850,287.942,368.649,399.395,49.872,59.794,,,0.0
/perception/obstacle_segmentation/crop_box_filter/debug/pipeline_latency_ms,Best-Effort,5850,288.896,368.741,399.389,49.829,59.672,,,0.0
/perception/obstacle_segmentation/crop_box_filter/debug/processing_time_ms,Best-Effort,5850,287.503,368.12,398.989,49.677,59.272,,,0.0
/perception/obstacle_segmentation/occupancy_grid_map_outlier_filter/debug/cyclic_time_ms,Best-Effort,5849,342.573,396.686,399.325,37.731,54.401,,,0.0
/perception/obstacle_segmentation/occupancy_grid_map_outlier_filter/debug/processing_time_ms,Best-Effort,5854,342.386,396.568,399.038,37.752,54.363,,,0.0
/perception/obstacle_segmentation/pointcloud_map_filtered/downsampled/pointcloud/debug/published_time,Best-Effort,5852,342.467,396.608,399.179,37.732,54.388,,,0.0
/perception/obstacle_segmentation/range_cropped/pointcloud/debug/published_time,Best-Effort,5855,290.503,368.786,399.869,49.627,59.055,,,0.0
/perception/obstacle_segmentation/scan_ground_filter/debug/cyclic_time_ms,Best-Effort,5854,346.57,400.785,403.485,37.988,54.76,,,0.0
/perception/obstacle_segmentation/scan_ground_filter/debug/processing_time_ms,Best-Effort,5843,346.775,400.845,403.515,37.847,54.628,,,0.0
/perception/obstacle_segmentation/single_frame/pointcloud/debug/published_time,Best-Effort,5845,346.825,400.866,403.505,37.703,54.464,,,0.0
/perception/occupancy_grid_map/pointcloud_based_occupancy_grid_map/debug/cyclic_time_ms,Best-Effort,5850,342.555,396.645,399.288,37.715,54.383,,,0.0
/perception/occupancy_grid_map/pointcloud_based_occupancy_grid_map/debug/pipeline_latency_ms,Best-Effort,5843,342.606,396.702,399.27,37.734,54.407,,,0.0
/perception/occupancy_grid_map/pointcloud_based_occupancy_grid_map/debug/processing_time_ms,Best-Effort,5853,342.445,396.585,399.191,37.728,54.361,,,0.0
/planning/auto_mode_status/avoidance_by_lane_change_left,Best-Effort,1448,1323.847,1610.399,1639.926,223.985,292.835,,,0.751927
/planning/auto_mode_status/avoidance_by_lane_change_right,Best-Effort,1445,1324.531,1610.038,1638.748,223.902,292.868,,,0.752484
